attribute_3a,value_3a,figure_3a,attribute_3b,value_3b,figure_3b,attribute_3c,value_3c,figure_3c
stdres22,-0.39259202404582,3A,stdres22,-0.655431984402969,3B,stdres22,-6.34407648076583,3C
stdres23,-0.684506673735094,3A,stdres23,-1.01747420368741,3B,stdres23,4.74167505547033,3C
stdres24,-8.24869015763965,3A,stdres24,-6.6007023887738,3B,stdres24,NaN,3C
stdres25,2.28236689806055,3A,stdres25,1.78941923845704,3B,stdres25,-0.146870007153717,3C
stdres26,6.376778002015,3A,stdres26,5.87811106193453,3B,stdres26,1.1248979039095,3C
stdres27,-4.57430962552557,3A,stdres27,-4.38212154438745,3B,stdres27,-15.4681392784731,3C
stdres28,0.385467639937663,3A,stdres28,0.608499033382217,3B,stdres28,10.2658545760244,3C
stdres29,-1.28470922519832,3A,stdres29,-1.466398153463,3B,stdres29,2.55333220781756,3C
stdres30,-7.40399200591853,3A,stdres30,-5.89309357917404,3B,stdres30,NaN,3C
stdres31,8.25000703694604,3A,stdres31,7.57097638751796,3B,stdres31,14.1875809711061,3C
stdres32,2.68562213380009,3A,stdres32,2.98668965619053,3B,stdres32,-3.00293009288414,3C
stdres33,-7.11560353014952,3A,stdres33,-5.961138907979,3B,stdres33,-13.190076528442,3C
stdres34,1.79665487095612,3A,stdres34,0.620853736700001,3B,stdres34,-2.6760945242641,3C
stdres35,-2.09397202366449,3A,stdres35,-2.41458469664581,3B,stdres35,3.95594362738075,3C
stdres36,-8.421916439824,3A,stdres36,-6.73259550285276,3B,stdres36,NaN,3C
stdres37,3.15868041550847,3A,stdres37,3.31749235682355,3B,stdres37,-9.26760264660182,3C
stdres38,5.90732229662905,3A,stdres38,7.22502011135721,3B,stdres38,-0.514418545084465,3C
stdres39,-10.1305430769889,3A,stdres39,-9.9336161106916,3B,stdres39,-7.49562387454168,3C
stdres40,-0.862398716218435,3A,stdres40,-1.70108032623466,3B,stdres40,-1.71101612375242,3C
stdres41,5.61003048147997,3A,stdres41,4.073532804847,3B,stdres41,16.6720507656849,3C
stdres42,-10.4269006569226,3A,stdres42,-8.69761083280902,3B,stdres42,NaN,3C
stdres43,4.45125045129872,3A,stdres43,3.87847427368367,3B,stdres43,0.210653388521277,3C
stdres44,9.6785736837464,3A,stdres44,8.79804236305959,3B,stdres44,13.6469758599307,3C
stdres45,-14.5434953868471,3A,stdres45,-13.1142848141762,3B,stdres45,-9.02058763345481,3C
stdres46,0.498315840981454,3A,stdres46,0.384666892654996,3B,stdres46,-4.67621280874381,3C
stdres47,4.47206909500527,3A,stdres47,3.84627407086924,3B,stdres47,-0.466674530822426,3C
stdres48,-13.1768696680462,3A,stdres48,-11.3165038068409,3B,stdres48,NaN,3C
stdres49,0.844775815903379,3A,stdres49,0.90427324465691,3B,stdres49,-8.66457547824121,3C
stdres50,-3.12151600226026,3A,stdres50,-3.08853965914759,3B,stdres50,-10.4512172854722,3C
stdres51,2.02069016839571,3A,stdres51,0.827425871660555,3B,stdres51,26.0472519205455,3C
stdres52,0.366202427053231,3A,stdres52,0.292350146022319,3B,stdres52,-2.57982359615754,3C
stdres53,8.10074282761486,3A,stdres53,8.06006513500879,3B,stdres53,-2.58727694904027,3C
stdres54,-17.2932247793698,3A,stdres54,-15.4820651605967,3B,stdres54,NaN,3C
stdres55,4.13670945660322,3A,stdres55,3.47118506628421,3B,stdres55,17.0406331849428,3C
stdres56,5.1750744035739,3A,stdres56,3.28046528840047,3B,stdres56,3.58850930724151,3C
stdres57,4.87614491755968,3A,stdres57,5.34146894401157,3B,stdres57,-9.6545255503637,3C
stdres58,-2.2420242665748,3A,stdres58,-2.40193857757851,3B,stdres58,-2.28337173273174,3C
stdres59,-2.09992898046056,3A,stdres59,-0.989630291267572,3B,stdres59,-7.94072863096223,3C
