attribute_3a,value_3a,figure_3a,attribute_3b,value_3b,figure_3b,attribute_3c,value_3c,figure_3c
residuals20,-1.70145637454008,3A,residuals20,-1.03416484829128,3B,residuals20,8.57021167000917,3C
residuals21,5.37816440526305,3A,residuals21,5.27297794772318,3B,residuals21,11.9066685762917,3C
residuals22,0.85020824237818,3A,residuals22,0.987641243535003,3B,residuals22,-0.889224005051975,3C
residuals23,-6.73950659148471,3A,residuals23,-5.83446240220383,3B,residuals23,-9.83494950524365,3C
residuals24,-0.481081278006242,3A,residuals24,-0.966087989823316,3B,residuals24,-1.54726450414265,3C
residuals25,3.43413375983057,3A,residuals25,4.06946678628874,3B,residuals25,-3.68834299476459,3C
residuals26,5.23357116643884,3A,residuals26,5.18017196023601,3B,residuals26,2.46422045844674,3C
residuals27,-8.58202937676418,3A,residuals27,-8.00756766757,3B,residuals27,-1.01467346701797,3C
residuals28,-1.46111255324269,3A,residuals28,-2.14240606044615,3B,residuals28,1.83252823415058,3C
residuals29,3.46372996372141,3A,residuals29,3.64388625628108,3B,residuals29,0.607003768874531,3C
residuals30,7.32132745563742,3A,residuals30,6.04387975191203,3B,residuals30,10.1834549633214,3C
residuals31,-12.0197738211272,3A,residuals31,-11.3245210606786,3B,residuals31,-6.31916507729495,3C
residuals32,-0.796776361165732,3A,residuals32,0.00217163158729484,3B,residuals32,-4.91602164164159,3C
residuals33,4.18744909943739,3A,residuals33,5.53014581074216,3B,residuals33,-0.61767235938954,3C
residuals34,-0.0409701379234397,3A,residuals34,-0.577553873510221,3B,residuals34,-3.45888716855294,3C
residuals35,-8.90488629493819,3A,residuals35,-9.15567976217246,3B,residuals35,-0.443961455785902,3C
residuals36,3.17707738951976,3A,residuals36,2.85545827195909,3B,residuals36,4.23742290031916,3C
residuals37,-0.134094691450348,3A,residuals37,0.455016531334687,3B,residuals37,7.73531478418181,3C
residuals38,1.80373151170453,3A,residuals38,-0.586985409971472,3B,residuals38,1.56248068363969,3C
residuals39,3.93899958855825,3A,residuals39,5.00574843780796,3B,residuals39,-6.34400811427724,3C
residuals40,-4.70925262485218,3A,residuals40,-3.74245917429116,3B,residuals40,-3.08800587416759,3C
residuals41,-2.96409983581814,3A,residuals41,-2.9927836270589,3B,residuals41,6.05558271842447,3C
residuals42,-2.67160516739414,3A,residuals42,-2.90469585929738,3B,residuals42,-2.8131935220193,3C
residuals43,3.95715736519399,3A,residuals43,4.25228591902808,3B,residuals43,-6.1673173621942,3C
residuals44,2.19572261130217,3A,residuals44,2.00434860812693,3B,residuals44,2.45652816670122,3C
residuals45,-6.74209804630532,3A,residuals45,-4.83705750484697,3B,residuals45,-2.78051372186802,3C
residuals46,-4.75172090658457,3A,residuals46,-3.96933984106122,3B,residuals46,-5.9096983407748,3C
residuals47,6.0636553434314,3A,residuals47,5.5837028513795,3B,residuals47,-0.924766734194086,3C
residuals48,6.02701798556259,3A,residuals48,3.56540118801339,3B,residuals48,8.93650740660857,3C
stdres1,-8.9658502882739,3A,stdres1,-8.57657955892242,3B,stdres1,-19.2485410197911,3C
stdres2,-2.52754848625991,3A,stdres2,-1.09142760012281,3B,stdres2,5.7728767768853,3C
stdres3,21.3020454706136,3A,stdres3,17.3099101398975,3B,stdres3,32.7485133621987,3C
stdres4,-7.03669920963758,3A,stdres4,-5.70950524328843,3B,stdres4,-16.9267545678288,3C
stdres5,1.79086272092402,3A,stdres5,-0.228228456851717,3B,stdres5,-6.19762458380702,3C
stdres6,-10.8247375648657,3A,stdres6,-8.17665642088029,3B,stdres6,-11.2373823461503,3C
stdres7,7.7293589481458,3A,stdres7,7.38690358898554,3B,stdres7,21.5064319090899,3C
stdres8,2.33651016853072,3A,stdres8,1.82331281508948,3B,stdres8,-2.53384464551935,3C
stdres9,-0.823905530695314,3A,stdres9,-2.98097891553208,3B,stdres9,0.365860847394282,3C
stdres10,-3.93219681519664,3A,stdres10,-2.06328498411754,3B,stdres10,-8.44323383996357,3C
stdres11,1.20644196483563,3A,stdres11,1.24159414666935,3B,stdres11,1.7399195665527,3C
stdres12,3.60559475623641,3A,stdres12,3.66219249164376,3B,stdres12,6.30803692738876,3C
stdres13,0.498888402589278,3A,stdres13,-1.9768264237542,3B,stdres13,-0.0515854976911209,3C
stdres14,3.41864960812997,3A,stdres14,5.02498312037843,3B,stdres14,12.3000417604867,3C
stdres15,-1.86731560885591,3A,stdres15,-2.07321829982918,3B,stdres15,-5.95711527798136,3C
stdres16,-2.2353390344349,3A,stdres16,-1.26379642250465,3B,stdres16,-6.57546796842559,3C
stdres17,0.977308808163647,3A,stdres17,-0.945441622542246,3B,stdres17,1.33210179794038,3C
stdres18,5.03239776001629,3A,stdres18,5.36876001292338,3B,stdres18,0.740161378924908,3C
stdres19,-4.47425583124493,3A,stdres19,-3.58457535795571,3B,stdres19,-14.0069144283927,3C
stdres20,-2.06100767981481,3A,stdres20,-1.26253377989587,3B,stdres20,10.57590271238,3C
stdres21,6.35145308916162,3A,stdres21,6.14452227365599,3B,stdres21,14.1743815184401,3C
stdres22,1.01958880352943,3A,stdres22,1.1787135117287,3B,stdres22,-1.07913719456519,3C
stdres23,-7.6186111120879,3A,stdres23,-6.60145186898504,3B,stdres23,-11.5043617212908,3C
stdres24,-0.585616373753193,3A,stdres24,-1.18577192656362,3B,stdres24,-1.91105314494409,3C
stdres25,4.09707754813238,3A,stdres25,4.79435305026618,3B,stdres25,-4.42576428723841,3C
stdres26,6.34038802923418,3A,stdres26,6.25048269018069,3B,stdres26,3.0143117621046,3C
stdres27,-9.80066752833106,3A,stdres27,-9.16008637166838,3B,stdres27,-1.19635432468688,3C
stdres28,-1.79678611795038,3A,stdres28,-2.65856084938609,3B,stdres28,2.28140297062262,3C
stdres29,4.21340633082493,3A,stdres29,4.38327470951667,3B,stdres29,0.72375298805208,3C
stdres30,9.04356937587324,3A,stdres30,7.44606064898635,3B,stdres30,12.3778655118163,3C
stdres31,-13.9956893756689,3A,stdres31,-13.2269639322479,3B,stdres31,-7.40346834479688,3C
stdres32,-0.999036814040205,3A,stdres32,0.00275151789010082,3B,stdres32,-6.08144967800596,3C
stdres33,5.21722019361524,3A,stdres33,6.8610208839394,3B,stdres33,-0.734196800302411,3C
stdres34,-0.0518343644015084,3A,stdres34,-0.733874058759311,3B,stdres34,-4.19123822146571,3C
stdres35,-10.6200530610227,3A,stdres35,-11.0293317693084,3B,stdres35,-0.518532674546243,3C
stdres36,4.08012204220428,3A,stdres36,3.73147288537083,3B,stdres36,5.22577225486828,3C
stdres37,-0.171356954483341,3A,stdres37,0.5791120537644,3B,stdres37,9.35355975297418,3C
stdres38,2.34057611115563,3A,stdres38,-0.765137719566878,3B,stdres38,1.92603963822687,3C
stdres39,4.81819938275692,3A,stdres39,6.18601398427726,3B,stdres39,-7.53770616842969,3C
stdres40,-6.20294417070236,3A,stdres40,-5.0170082331038,3B,stdres40,-3.87410511587883,3C
stdres41,-3.63882490216193,3A,stdres41,-3.65692416867038,3B,stdres41,7.26523967828448,3C
stdres42,-3.33043783461721,3A,stdres42,-3.63511519188963,3B,stdres42,-3.44068761664162,3C
stdres43,4.65007903852126,3A,stdres43,5.04509724381169,3B,stdres43,-7.2705429344971,3C
stdres44,2.77844330496245,3A,stdres44,2.57968220293515,3B,stdres44,3.05780722571052,3C
stdres45,-8.17049521108907,3A,stdres45,-5.80901763459364,3B,stdres45,-3.3100016295452,3C
stdres46,-5.84742912005139,3A,stdres46,-4.88221166665994,3B,stdres46,-7.17166687622253,3C
stdres47,7.03390513314958,3A,stdres47,6.51103740868323,3B,stdres47,-1.08171264050113,3C
stdres48,7.52855344162929,3A,stdres48,4.51005836814412,3B,stdres48,11.037363197893,3C
