id,inst_type,inst_id,US_region,PUI_RI,world_region,Other_inst_type
282_2021-2022,offer_institutions,4675,NA,NA,NA,NA
283_2021-2022,offer_institutions,4675,NA,NA,NA,NA
284_2021-2022,offer_institutions,4675,NA,NA,NA,NA
285_2021-2022,offer_institutions,4675,NA,NA,NA,NA
286_2021-2022,offer_institutions,4675,NA,NA,NA,NA
287_2021-2022,offer_institutions,4675,NA,NA,NA,NA
288_2021-2022,offer_institutions,4051,Southeast,RI,USA,US college or university
289_2021-2022,offer_institutions,0,NA,NA,NA,NA
290_2021-2022,offer_institutions,4675,NA,NA,NA,NA
291_2021-2022,offer_institutions,3900,Southeast,RI,USA,US college or university
292_2021-2022,offer_institutions,4675,NA,NA,NA,NA
293_2021-2022,offer_institutions,4258,Northeast,RI,USA,US college or university
294_2021-2022,offer_institutions,4675,NA,NA,NA,NA
295_2021-2022,offer_institutions,4675,NA,NA,NA,NA
296_2021-2022,offer_institutions,4526,NA,RI,European,NA
297_2021-2022,offer_institutions,0,NA,NA,NA,NA
298_2021-2022,offer_institutions,3984,Southeast,RI,USA,US college or university
299_2021-2022,offer_institutions,4675,NA,NA,NA,NA
300_2021-2022,offer_institutions,4675,NA,NA,NA,NA
301_2021-2022,offer_institutions,4675,NA,NA,NA,NA
302_2021-2022,offer_institutions,2680,Northeast,RI,USA,US college or university
303_2021-2022,offer_institutions,4675,NA,NA,NA,NA
304_2021-2022,offer_institutions,1304,Southeast,RI,USA,US college or university
