id,inst_type,inst_id,US_region,PUI_RI,world_region,Other_inst_type
69_2020-2021,offer_institutions,2483,Northeast,PUI,USA,US college or university
70_2020-2021,offer_institutions,4675,NA,NA,NA,NA
71_2020-2021,offer_institutions,4675,NA,NA,NA,NA
72_2020-2021,offer_institutions,0,NA,NA,NA,NA
74_2020-2021,offer_institutions,3690,Pacific,RI,USA,US college or university
75_2020-2021,offer_institutions,4675,NA,NA,NA,NA
76_2020-2021,offer_institutions,4531,NA,RI,Western Pacific,NA
77_2020-2021,offer_institutions,0,NA,NA,NA,NA
78_2020-2021,offer_institutions,4675,NA,NA,NA,NA
79_2020-2021,offer_institutions,4675,NA,NA,NA,NA
80_2020-2021,offer_institutions,4675,NA,NA,NA,NA
81_2020-2021,offer_institutions,4675,NA,NA,NA,NA
82_2020-2021,offer_institutions,4675,NA,NA,NA,NA
83_2020-2021,offer_institutions,0,NA,NA,NA,NA
84_2020-2021,offer_institutions,3610,Northeast,RI,USA,US college or university
85_2020-2021,offer_institutions,4675,NA,NA,NA,NA
86_2020-2021,offer_institutions,4675,NA,NA,NA,NA
87_2020-2021,offer_institutions,195,Southwest,RI,USA,US college or university
88_2020-2021,offer_institutions,4675,NA,NA,NA,NA
89_2020-2021,offer_institutions,4675,NA,NA,NA,NA
90_2020-2021,offer_institutions,3773,Midwest,RI,USA,US college or university
91_2020-2021,offer_institutions,3782,Midwest,RI,USA,US college or university
92_2020-2021,offer_institutions,4675,NA,NA,NA,NA
93_2020-2021,offer_institutions,4157,Midwest,RI,USA,US college or university
95_2020-2021,offer_institutions,2915,Northeast,PUI,USA,US college or university
96_2020-2021,offer_institutions,4675,NA,NA,NA,NA
97_2020-2021,offer_institutions,4675,NA,NA,NA,NA
98_2020-2021,offer_institutions,4675,NA,NA,NA,NA
99_2020-2021,offer_institutions,4675,NA,NA,NA,NA
100_2020-2021,offer_institutions,4675,NA,NA,NA,NA
101_2020-2021,offer_institutions,0,NA,NA,NA,NA
102_2020-2021,offer_institutions,4675,NA,NA,NA,NA
103_2020-2021,offer_institutions,2409,Northeast,RI,USA,US college or university
104_2020-2021,offer_institutions,4675,NA,NA,NA,NA
105_2020-2021,offer_institutions,4675,NA,NA,NA,NA
106_2020-2021,offer_institutions,4675,NA,NA,NA,NA
107_2020-2021,offer_institutions,4675,NA,NA,NA,NA
108_2020-2021,offer_institutions,4675,NA,NA,NA,NA
